s_i,FULLY_SUPERVISED_CLASSIFIER,CGAN_BASIC_SUPERVISED_CLASSIFIER,CGAN_BASIC_DJ_SUPERVISED_CLASSIFIER,CGAN_GUMBEL_SUPERVISED_CLASSIFIER,CGAN_GUMBEL_DJ_SUPERVISED_CLASSIFIER,SSL_GAN,TRIPLE_GAN,SSL_VAE,VAT,ENTROPY_MINIMISATION,LABEL_PROPAGATION,ASSFSCMR,SFAMCAMT,PARTIAL_SUPERVISED_CLASSIFIER
52,0.8087438941001892,0.7709799408912659,0.7428261637687683,0.757038414478302,0.7694910168647766,0.5703843832015991,0.5,0.7443150877952576,0.7743638157844543,0.7716567516326904,0.6176231503486633,,,0.745533287525177
53,0.8083378672599792,0.7807254791259766,0.7514888644218445,0.7466161251068115,0.752571702003479,0.5,0.5,0.7265836596488953,0.7309150099754333,0.7248240113258362,0.7176502346992493,,,0.720628023147583
54,0.7954791784286499,0.7742284536361694,0.775175929069519,0.7533838152885437,0.6631023287773132,0.7696264386177063,0.5,0.5,0.722929060459137,0.740795910358429,0.5,,,0.7502707242965698
55,0.8125338554382324,0.7246886491775513,0.7509474754333496,0.6701407432556152,0.7447211742401123,0.7627233266830444,0.7334867119789124,0.7459393739700317,0.7640768885612488,0.7391716241836548,0.6307525634765625,,,0.7601516246795654
56,0.8221440315246582,0.6441526412963867,0.6597184538841248,0.6547102928161621,0.7334867119789124,0.7010016441345215,0.5,0.6580942273139954,0.6340010762214661,0.741066575050354,0.5,,,0.7183270454406738
57,0.8022468686103821,0.7700324654579163,0.7418786883354187,0.7789658904075623,0.745939314365387,0.7673254013061523,0.5,0.5,0.7711153030395508,0.772739589214325,0.7015430331230164,,,0.7736870646476746
58,0.8257985711097717,0.7129127979278564,0.7430968880653381,0.6942338943481445,0.7027612328529358,0.5,0.5,0.7064158320426941,0.7486464381217957,0.741066575050354,0.5,,,0.7536545991897583
59,0.8263400197029114,0.7642121911048889,0.7556848526000977,0.7414726614952087,0.7407958507537842,0.7562263011932373,0.7504060864448547,0.7621819376945496,0.7573091387748718,0.7631294131278992,0.5,,,0.756632387638092
60,0.8130752444267273,0.7437736392021179,0.7233350872993469,0.7031672596931458,0.7475636005401611,0.5,0.7443150877952576,0.7543313503265381,0.7481050491333008,0.7268543839454651,0.5,,,0.7497292757034302
61,0.8126692175865173,0.7554141879081726,0.770438551902771,0.7651596665382385,0.7550081014633179,0.5,0.740660548210144,0.7665132880210876,0.7569031119346619,0.7581212520599365,0.7169734835624695,,,0.7605576515197754
62,0.8151055574417114,0.709122896194458,0.7238765358924866,0.7390362620353699,0.6958581209182739,0.7106118202209473,0.7210341095924377,0.7125067710876465,0.6138332486152649,0.7010016441345215,0.7015430331230164,,,0.6422576904296875
63,0.8210611939430237,0.7218462228775024,0.7195451855659485,0.7616404891014099,0.7007309198379517,0.5965078473091125,0.7609637379646301,0.7436383366584778,0.6261504888534546,0.7532485127449036,0.5001353621482849,,,0.6476718783378601
64,0.809149980545044,0.7271250486373901,0.7786951661109924,0.7578505277633667,0.6099079251289368,0.7602869272232056,0.727260410785675,0.49972930550575256,0.6936924457550049,0.72739577293396,0.7118300199508667,,,0.763400137424469
65,0.8141580820083618,0.768543541431427,0.752571702003479,0.7696263790130615,0.757038414478302,0.7910124659538269,0.6146453619003296,0.5,0.763670802116394,0.7587980628013611,0.5124526023864746,,,0.7701678276062012
66,0.7111532092094421,0.770844578742981,0.7237411737442017,0.707227885723114,0.7326745986938477,0.5,0.5,0.5641580820083618,0.6348131895065308,0.6124796867370605,0.5729561448097229,,,0.6182999610900879
67,0.822820782661438,0.7513535022735596,0.7632647156715393,0.7134542465209961,0.7309149503707886,0.7368705868721008,0.5,0.5594207048416138,0.7271250486373901,0.7156199216842651,0.5,,,0.7356523871421814
68,0.8140227198600769,0.7449918389320374,0.6737953424453735,0.7108824849128723,0.6742013692855835,0.5,0.5644288063049316,0.49972930550575256,0.6955874562263489,0.6187059879302979,0.5,,,0.6835408806800842
69,0.811315655708313,0.6926096081733704,0.6601244807243347,0.763806164264679,0.7772062420845032,0.6621548533439636,0.7256361842155457,0.49769896268844604,0.6825934052467346,0.720357358455658,0.7462100982666016,,,0.7334867119789124
70,0.8259339332580566,0.781943678855896,0.6819165945053101,0.7282078862190247,0.7214401364326477,0.7330806851387024,0.7536545991897583,0.711288571357727,0.686518669128418,0.7314563989639282,0.745533287525177,,,0.7357877492904663
71,0.8053600192070007,0.7306442856788635,0.7215754985809326,0.7368705868721008,0.7103410959243774,0.6987006068229675,0.5,0.6972116827964783,0.7164320349693298,0.6832701563835144,0.5,,,0.7301028966903687
72,0.8186247944831848,0.7513535022735596,0.7384948134422302,0.7552788257598877,0.7242826223373413,0.6946399807929993,0.7302381992340088,0.6922035813331604,0.688684344291687,0.6777206063270569,0.5,,,0.6985652446746826
