s_i,FULLY_SUPERVISED_CLASSIFIER,CGAN_BASIC_SUPERVISED_CLASSIFIER,CGAN_BASIC_DJ_SUPERVISED_CLASSIFIER,CGAN_GUMBEL_SUPERVISED_CLASSIFIER,CGAN_GUMBEL_DJ_SUPERVISED_CLASSIFIER,SSL_GAN,TRIPLE_GAN,SSL_VAE,VAT,ENTROPY_MINIMISATION,LABEL_PROPAGATION,ASSFSCMR,SFAMCAMT,PARTIAL_SUPERVISED_CLASSIFIER
39,0.8143908381462097,0.7927228212356567,0.7301716804504395,0.7861815094947815,0.7109566330909729,0.7785500288009644,0.7837285399436951,0.784273624420166,0.7917688488960266,0.7646497488021851,0.6475878953933716,0.6417279839515686,0.8115289807319641,0.7927228212356567
40,0.8007631301879883,0.7785500288009644,0.7409375905990601,0.7153174877166748,0.7270373106002808,0.6789315938949585,0.6061596870422363,0.6777051091194153,0.6515399217605591,0.7695557475090027,0.6753883957862854,0.4553011655807495,0.7472063302993774,0.6995093822479248
41,0.8052603006362915,0.7451621890068054,0.7408012747764587,0.7643771767616272,0.7292177677154541,0.5,0.7754156589508057,0.753202497959137,0.737394392490387,0.7965385913848877,0.7387571334838867,0.6481329798698425,0.7188606858253479,0.7339874505996704
42,0.8056691288948059,0.7221313714981079,0.7612428069114685,0.7668302059173584,0.6838375329971313,0.7266284823417664,0.7252657413482666,0.7455710172653198,0.7502044439315796,0.711910605430603,0.6560370922088623,0.6636685729026794,0.760561466217041,0.7115017771720886
43,0.807168185710907,0.7338511943817139,0.7823657393455505,0.7935404777526855,0.7999454736709595,0.7243118286132812,0.6504496932029724,0.7100027203559875,0.7522485852241516,0.7841373682022095,0.5748160481452942,0.6556282639503479,0.7602888941764832,0.7555192112922668
44,0.8036249876022339,0.7935404777526855,0.7154538035392761,0.7989915013313293,0.7973561882972717,0.7481602430343628,0.7472063302993774,0.725674569606781,0.7326247096061707,0.7188607454299927,0.7403925061225891,0.638048529624939,0.8134368658065796,0.6432270407676697
45,0.8002180457115173,0.7834559679031372,0.784273624420166,0.7477514147758484,0.7793676257133484,0.7673752903938293,0.7741891741752625,0.7754156589508057,0.7497955560684204,0.7342600226402283,0.7097301483154297,0.6437721252441406,0.7812755107879639,0.7642409205436707
46,0.8081220984458923,0.8088034987449646,0.6460888385772705,0.6158353686332703,0.7090487480163574,0.7855001091957092,0.7891796231269836,0.7976287603378296,0.7777323722839355,0.7795039415359497,0.5,0.6285091042518616,0.7210411429405212,0.7820932269096375
47,0.8067593574523926,0.7258108258247375,0.7556554675102234,0.7965385317802429,0.7606977224349976,0.5,0.7286726832389832,0.7616516947746277,0.7258108258247375,0.7715998888015747,0.7698283195495605,0.613109827041626,0.7981738448143005,0.7403925061225891
48,0.801308274269104,0.7209048867225647,0.7721449732780457,0.7661488056182861,0.7709184885025024,0.762605607509613,0.702507495880127,0.7425729036331177,0.7138184905052185,0.690787672996521,0.5,0.6733442544937134,0.7786862850189209,0.6895611882209778
