s_i,FULLY_SUPERVISED_CLASSIFIER,CGAN_BASIC_SUPERVISED_CLASSIFIER,CGAN_BASIC_DJ_SUPERVISED_CLASSIFIER,CGAN_GUMBEL_SUPERVISED_CLASSIFIER,CGAN_GUMBEL_DJ_SUPERVISED_CLASSIFIER,SSL_GAN,TRIPLE_GAN,SSL_VAE,VAT,ENTROPY_MINIMISATION,LABEL_PROPAGATION,ASSFSCMR,SFAMCAMT,PARTIAL_SUPERVISED_CLASSIFIER
10,0.9950248599052429,0.9527363181114197,0.60447758436203,0.9427860379219055,0.8955223560333252,0.89552241563797,0.9328358173370361,0.9029850959777832,0.9378109574317932,0.9427860975265503,0.9328358173370361,0.611940324306488,0.888059675693512,0.9452736377716064
11,0.9726368188858032,0.9253731369972229,0.9104477763175964,0.9253731369972229,0.9203979969024658,0.9353233575820923,0.8781094551086426,0.8980099558830261,0.893034815788269,0.8432835936546326,0.888059675693512,0.6865671873092651,0.9004974961280823,0.8482587337493896
12,0.9850746393203735,0.9577114582061768,0.9154228568077087,0.9378108978271484,0.9328358173370361,0.9203979969024658,0.9129353165626526,0.9203979969024658,0.93034827709198,0.9054726362228394,0.9079601764678955,0.6318408250808716,0.8631840348243713,0.9228855967521667
13,0.9552238583564758,0.9203979969024658,0.7014925479888916,0.9378108978271484,0.7960199117660522,0.9328358173370361,0.6019900441169739,0.9601989984512329,0.9427860975265503,0.9452736377716064,0.9228855967521667,0.6741293668746948,0.9104477167129515,0.9427860975265503
14,0.9477611780166626,0.9353233575820923,0.9402984976768494,0.9502487182617188,0.9104477763175964,0.9179104566574097,0.8756219148635864,0.8781094551086426,0.9004974961280823,0.8980099558830261,0.8980099558830261,0.611940324306488,0.8656716346740723,0.893034815788269
15,0.9676616787910461,0.9154228568077087,0.9253731369972229,0.957711398601532,0.9154228568077087,0.9751243591308594,0.8631840944290161,0.8905472755432129,0.8830845952033997,0.8731343150138855,0.8681591749191284,0.3656716346740722,0.8333333134651184,0.8656716346740723
16,0.9626865386962891,0.9253731369972229,0.9402984976768494,0.9701492190361023,0.9253731369972229,0.9577114582061768,0.8980099558830261,0.9452736377716064,0.9527363181114197,0.9527363181114197,0.8631840944290161,0.6542288661003113,0.8756218552589417,0.9527363181114197
17,0.9601989984512329,0.9452736377716064,0.9402984976768494,0.9477611780166626,0.9079601764678955,0.9079601764678955,0.7810945510864258,0.9029850959777832,0.9154228568077087,0.9179104566574097,0.9129353165626526,0.6616915464401245,0.9179103970527648,0.9104477763175964
18,0.9552238583564758,0.9601989984512329,0.9626865386962891,0.957711398601532,0.89552241563797,0.9552238583564758,0.9477611780166626,0.9228855967521667,0.9477611780166626,0.9477611780166626,0.8855721354484558,0.3383084535598755,0.9179103970527648,0.9452736377716064
19,0.9676616787910461,0.9626865386962891,0.9626865386962891,0.9378108978271484,0.9004974961280823,0.9402984976768494,0.9402984976768494,0.9552238583564758,0.9402984976768494,0.9402984976768494,0.9228855967521667,0.6592040061950684,0.8656716346740723,0.9427860975265503
